protocol,detector,calibration_policy,contamination_mode,true_prevalence,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,c2st_lr,source_only,append,0.0999099909990999,decision_regret,5,0.00034316919452705467,0.0002776513264611984,-1.5804615933354897e-06,0.0006879188506474449
P1,c2st_lr,source_only,append,0.2498124531132783,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,append,0.2498124531132783,contaminated_utility_delta,5,0.0011612561561281595,0.0015960077922026025,-0.0008204492603024864,0.0031429615725588056
P1,c2st_lr,source_only,append,0.2498124531132783,detector_cleanup_delta,5,0.00041994453468789997,0.0017920899586790391,-0.0018052290485463343,0.0026451181179221344
P1,c2st_lr,source_only,append,0.2498124531132783,decision_regret,5,0.00108841023261492,0.0005779511162499264,0.0003707891388457081,0.001806031326384132
P1,c2st_lr,source_only,append,0.5,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,append,0.5,contaminated_utility_delta,5,0.0006980329701632795,0.0011150592904665927,-0.0006864960066717222,0.002082561946998281
P1,c2st_lr,source_only,append,0.5,detector_cleanup_delta,5,0.000484552733098792,0.0015004729761670338,-0.0013785305416854686,0.0023476360078830525
P1,c2st_lr,source_only,append,0.5,decision_regret,5,0.000616966031487884,0.00039014904931323574,0.00013253200302221414,0.0011014000599535538
P1,c2st_lr,source_only,append,0.75,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,append,0.75,contaminated_utility_delta,5,0.0006673256346091748,0.0014305221334925016,-0.0011089021971821037,0.002443553466400453
P1,c2st_lr,source_only,append,0.75,detector_cleanup_delta,5,-0.0001923264282224643,0.0018328143372071627,-0.002468066006124292,0.002083413149679363
P1,c2st_lr,source_only,append,0.75,decision_regret,5,0.0010578632591411235,0.0008740278074876824,-2.7385602845301886e-05,0.002143112121127549
P1,c2st_lr,source_only,replace,0.0,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,replace,0.0,contaminated_utility_delta,5,0.0019617881469842858,0.0024091826388047497,-0.0010296072007171145,0.004953183494685686
P1,c2st_lr,source_only,replace,0.0,detector_cleanup_delta,5,0.0017741802915056983,0.003076736545135496,-0.002046092708546877,0.005594453291558273
P1,c2st_lr,source_only,replace,0.0,decision_regret,5,0.00025980652770050245,0.0003092987553350372,-0.00012423860148824765,0.0006438516568892526
P1,c2st_lr,source_only,replace,0.05,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,replace,0.05,contaminated_utility_delta,5,0.000981961711454388,0.0011112152373502554,-0.0003977942430188749,0.002361717665927651
P1,c2st_lr,source_only,replace,0.05,detector_cleanup_delta,5,0.0006279635976759481,0.0013517312127180221,-0.0010504323844043341,0.00230635957975623
P1,c2st_lr,source_only,replace,0.05,decision_regret,5,0.00023190962268152012,0.0002536161238125297,-8.299638762048636e-05,0.0005468156329835266
P1,c2st_lr,source_only,replace,0.1,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,replace,0.1,contaminated_utility_delta,5,-0.0016563349166229002,0.0017045124746488405,-0.0037727666908835716,0.00046009685763777125
P1,c2st_lr,source_only,replace,0.1,detector_cleanup_delta,5,-0.001548395496043568,0.001650070909075249,-0.0035972291383256612,0.0005004381462385254
P1,c2st_lr,source_only,replace,0.1,decision_regret,5,0.000434577685547364,0.00037688658556588516,-3.338881915573806e-05,0.0009025441902504661
P1,c2st_lr,source_only,replace,0.25,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,replace,0.25,contaminated_utility_delta,5,-0.0015615012498067758,0.0021663917672097204,-0.004251431913156115,0.0011284294135425637
P1,c2st_lr,source_only,replace,0.25,detector_cleanup_delta,5,-0.0020403673565603277,0.003064907989092387,-0.005845953264423439,0.001765218551302784
P1,c2st_lr,source_only,replace,0.25,decision_regret,5,0.0009338769576208959,0.0007966028813895266,-5.523616106586243e-05,0.0019229900763076543
P1,c2st_lr,source_only,replace,0.5,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,replace,0.5,contaminated_utility_delta,5,-0.0039045991161367013,0.002477022889296461,-0.006980229260502784,-0.0008289689717706182
P1,c2st_lr,source_only,replace,0.5,detector_cleanup_delta,5,-0.004025743030695353,0.002708192803738166,-0.007388408535291546,-0.0006630775260991605
P1,c2st_lr,source_only,replace,0.5,decision_regret,5,0.0007524158316150586,0.0005627468287743719,5.367335422258297e-05,0.001451158309007534
P1,c2st_lr,source_only,replace,0.75,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,replace,0.75,contaminated_utility_delta,5,-0.0077840147670449,0.002324817996375891,-0.010670657575521053,-0.004897371958568748
P1,c2st_lr,source_only,replace,0.75,detector_cleanup_delta,5,-0.007489191998262748,0.002111640993586552,-0.010111140597130395,-0.004867243399395101
P1,c2st_lr,source_only,replace,0.75,decision_regret,5,0.00093894105968234,0.0008316881875601701,-9.373622054246284e-05,0.001971618339907143
P1,c2st_lr,source_only,replace,1.0,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,source_only,replace,1.0,contaminated_utility_delta,5,-0.014178874610895056,0.0032662694336777856,-0.01823448377512616,-0.010123265446663952
P1,c2st_lr,source_only,replace,1.0,detector_cleanup_delta,5,-0.013985591971901018,0.0027335412036647005,-0.01737973167209806,-0.010591452271703976
P1,c2st_lr,source_only,replace,1.0,decision_regret,5,0.0010269218817886,0.0008648782886491014,-4.696635205507244e-05,0.0021008101156322723
P1,c2st_lr,target_real_anchor,append,0.0,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,append,0.0,contaminated_utility_delta,5,0.0019617881469842858,0.0024091826388047497,-0.0010296072007171145,0.004953183494685686
P1,c2st_lr,target_real_anchor,append,0.0,detector_cleanup_delta,5,0.001854679729716304,0.003083536814295323,-0.0019740369197301243,0.005683396379162733
P1,c2st_lr,target_real_anchor,append,0.0,decision_regret,5,0.0003193194207199987,0.00033335376854756206,-9.459395235105942e-05,0.0007332327937910569
P1,c2st_lr,target_real_anchor,append,0.050332383665717,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,append,0.050332383665717,contaminated_utility_delta,5,0.001549434554059192,0.0013407134102027007,-0.00011528101929849668,0.0032141501274168807
P1,c2st_lr,target_real_anchor,append,0.050332383665717,detector_cleanup_delta,5,0.0015293335132172841,0.0016859493207798712,-0.0005640490611911711,0.0036227160876257393
